Entity,Code,Year,Average temperature
Northern hemisphere,,1913,-0.4946916
Northern hemisphere,,1914,-0.26909837
Northern hemisphere,,1915,-0.17552477
Northern hemisphere,,1916,-0.44348505
Northern hemisphere,,1917,-0.58452386
Northern hemisphere,,1918,-0.4693667
Northern hemisphere,,1919,-0.37228045
Northern hemisphere,,1920,-0.30915058
Northern hemisphere,,1921,-0.16326092
Northern hemisphere,,1922,-0.3025757
Northern hemisphere,,1923,-0.2553121
Northern hemisphere,,1924,-0.19269112
Northern hemisphere,,1925,-0.16855866
Northern hemisphere,,1926,-0.001948146
Northern hemisphere,,1927,-0.106848285
Northern hemisphere,,1928,-0.0874137
Northern hemisphere,,1929,-0.33659348
Northern hemisphere,,1930,-0.030012226
Northern hemisphere,,1931,0.0458628
Northern hemisphere,,1932,-0.037433486
Northern hemisphere,,1933,-0.26505136
Northern hemisphere,,1934,-0.05340261
Northern hemisphere,,1935,-0.08655058
Northern hemisphere,,1936,-0.060995486
Northern hemisphere,,1937,0.121766165
Northern hemisphere,,1938,0.15948813
Northern hemisphere,,1939,0.053391192
Northern hemisphere,,1940,0.12198081
Northern hemisphere,,1941,0.07549032
Northern hemisphere,,1942,0.060141157
Northern hemisphere,,1943,0.112462394
Northern hemisphere,,1944,0.22006534
Northern hemisphere,,1945,0.08353451
Northern hemisphere,,1946,-0.011474031
Northern hemisphere,,1947,0.044209387
Northern hemisphere,,1948,-0.000778763
Northern hemisphere,,1949,-0.06751225
Northern hemisphere,,1950,-0.19089265
Northern hemisphere,,1951,0.053849168
Northern hemisphere,,1952,0.0698174
Northern hemisphere,,1953,0.20657909
Northern hemisphere,,1954,-0.03111773
Northern hemisphere,,1955,-0.12558742
Northern hemisphere,,1956,-0.27912933
Northern hemisphere,,1957,-0.03576782
Northern hemisphere,,1958,0.08269571
Northern hemisphere,,1959,0.04707567
Northern hemisphere,,1960,0.000396488
Northern hemisphere,,1961,-0.006730791
Northern hemisphere,,1962,0.04820568
Northern hemisphere,,1963,0.07036424
Northern hemisphere,,1964,-0.26100203
Northern hemisphere,,1965,-0.19513263
Northern hemisphere,,1966,-0.08895999
Northern hemisphere,,1967,-0.039132696
Northern hemisphere,,1968,-0.1392383
Northern hemisphere,,1969,-0.10033807
Northern hemisphere,,1970,-0.12249983
Northern hemisphere,,1971,-0.22896299
Northern hemisphere,,1972,-0.2498834
Northern hemisphere,,1973,0.021601314
Northern hemisphere,,1974,-0.24963334
Northern hemisphere,,1975,-0.11088225
Northern hemisphere,,1976,-0.25186262
Northern hemisphere,,1977,0.07897045
Northern hemisphere,,1978,-0.011896554
Northern hemisphere,,1979,0.031081047
Northern hemisphere,,1980,0.13930702
Northern hemisphere,,1981,0.3399632
Northern hemisphere,,1982,-0.00987823
Northern hemisphere,,1983,0.19221349
Northern hemisphere,,1984,-0.02962185
Northern hemisphere,,1985,-0.05202676
Northern hemisphere,,1986,0.062017497
Northern hemisphere,,1987,0.19571494
Northern hemisphere,,1988,0.3156612
Northern hemisphere,,1989,0.21736717
Northern hemisphere,,1990,0.46398687
Northern hemisphere,,1991,0.38519096
Northern hemisphere,,1992,0.09690911
Northern hemisphere,,1993,0.19244476
Northern hemisphere,,1994,0.32322568
Northern hemisphere,,1995,0.56863606
Northern hemisphere,,1996,0.29174882
Northern hemisphere,,1997,0.53472054
Northern hemisphere,,1998,0.71429116
Northern hemisphere,,1999,0.47636312
Northern hemisphere,,2000,0.48707607
Northern hemisphere,,2001,0.62824297
Northern hemisphere,,2002,0.6687142
Northern hemisphere,,2003,0.7204716
Northern hemisphere,,2004,0.63348985
Northern hemisphere,,2005,0.8313995
Northern hemisphere,,2006,0.7947609
Northern hemisphere,,2007,0.8321025
Northern hemisphere,,2008,0.67170423
Northern hemisphere,,2009,0.70673966
Northern hemisphere,,2010,0.91949975
Northern hemisphere,,2011,0.725346
Northern hemisphere,,2012,0.7843316
Northern hemisphere,,2013,0.77667415
Northern hemisphere,,2014,0.907794
Northern hemisphere,,2015,1.1308405
Northern hemisphere,,2016,1.255193
Northern hemisphere,,2017,1.1153969
Northern hemisphere,,2018,0.95966166
Northern hemisphere,,2019,1.1437434
Northern hemisphere,,2020,1.2757266
Northern hemisphere,,2021,1.0779494
Northern hemisphere,,2022,1.0997018
Northern hemisphere,,2023,1.2378116
Southern hemisphere,,1850,-0.39952648
Southern hemisphere,,1851,-0.24745059
Southern hemisphere,,1852,-0.2230961
Southern hemisphere,,1853,-0.2953167
Southern hemisphere,,1854,-0.408352
Southern hemisphere,,1855,-0.3482592
Southern hemisphere,,1856,-0.30716658
Southern hemisphere,,1857,-0.48306343
Southern hemisphere,,1858,-0.41892695
Southern hemisphere,,1859,-0.31474683
Southern hemisphere,,1860,-0.32129827
Southern hemisphere,,1861,-0.4530126
Southern hemisphere,,1862,-0.37122685
Southern hemisphere,,1863,-0.38732743
Southern hemisphere,,1864,-0.4692299
Southern hemisphere,,1865,-0.2976597
Southern hemisphere,,1866,-0.30879125
Southern hemisphere,,1867,-0.30883342
Southern hemisphere,,1868,-0.3452093
Southern hemisphere,,1869,-0.3843773
Southern hemisphere,,1870,-0.3437136
Southern hemisphere,,1871,-0.29620588
Southern hemisphere,,1872,-0.29906142
Southern hemisphere,,1873,-0.30706945
Southern hemisphere,,1874,-0.45276964
Southern hemisphere,,1875,-0.26752955
Southern hemisphere,,1876,-0.41325358
Southern hemisphere,,1877,-0.10085537
Southern hemisphere,,1878,-0.09384111
Southern hemisphere,,1879,-0.27102003
Southern hemisphere,,1880,-0.24766637
Southern hemisphere,,1881,-0.18044113
Southern hemisphere,,1882,-0.21808103
Southern hemisphere,,1883,-0.26588535
Southern hemisphere,,1884,-0.3501787
Southern hemisphere,,1885,-0.43261054
Southern hemisphere,,1886,-0.3963409
Southern hemisphere,,1887,-0.50335246
Southern hemisphere,,1888,-0.38630855
Southern hemisphere,,1889,-0.23932517
Southern hemisphere,,1890,-0.49004412
Southern hemisphere,,1891,-0.39072788
Southern hemisphere,,1892,-0.4390568
Southern hemisphere,,1893,-0.43251488
Southern hemisphere,,1894,-0.5249311
Southern hemisphere,,1895,-0.45238245
Southern hemisphere,,1896,-0.27457422
Southern hemisphere,,1897,-0.2680399
Southern hemisphere,,1898,-0.5411372
Southern hemisphere,,1899,-0.37782213
Southern hemisphere,,1900,-0.27106032
Southern hemisphere,,1901,-0.37191966
Southern hemisphere,,1902,-0.41805556
Southern hemisphere,,1903,-0.56152844
Southern hemisphere,,1904,-0.6167693
Southern hemisphere,,1905,-0.4121055
Southern hemisphere,,1906,-0.37793586
Southern hemisphere,,1907,-0.47162786
Southern hemisphere,,1908,-0.5499147
Southern hemisphere,,1909,-0.57780594
Southern hemisphere,,1910,-0.5706339
Southern hemisphere,,1911,-0.6252645
Southern hemisphere,,1912,-0.42106485
Southern hemisphere,,1913,-0.43961346
Southern hemisphere,,1914,-0.25608647
Southern hemisphere,,1915,-0.20816307
Southern hemisphere,,1916,-0.3969349
Southern hemisphere,,1917,-0.5015152
Southern hemisphere,,1918,-0.37980196
Southern hemisphere,,1919,-0.278756
Southern hemisphere,,1920,-0.28801098
Southern hemisphere,,1921,-0.31809315
Southern hemisphere,,1922,-0.37588054
Southern hemisphere,,1923,-0.380549
Southern hemisphere,,1924,-0.43143332
Southern hemisphere,,1925,-0.39629188
Southern hemisphere,,1926,-0.2437228
Southern hemisphere,,1927,-0.35196185
Southern hemisphere,,1928,-0.3261094
Southern hemisphere,,1929,-0.44891977
Southern hemisphere,,1930,-0.32359856
Southern hemisphere,,1931,-0.25265816
Southern hemisphere,,1932,-0.25348985
Southern hemisphere,,1933,-0.37963745
Southern hemisphere,,1934,-0.2952711
Southern hemisphere,,1935,-0.32556787
Southern hemisphere,,1936,-0.27804637
Southern hemisphere,,1937,-0.16016403
Southern hemisphere,,1938,-0.18388958
Southern hemisphere,,1939,-0.13498552
Southern hemisphere,,1940,0.029890874
Southern hemisphere,,1941,0.000768358
Southern hemisphere,,1942,-0.057328977
Southern hemisphere,,1943,-0.099634245
Southern hemisphere,,1944,0.06814493
Southern hemisphere,,1945,0.002642223
Southern hemisphere,,1946,-0.22615156
Southern hemisphere,,1947,-0.22662048
Southern hemisphere,,1948,-0.24854377
Southern hemisphere,,1949,-0.22009224
Southern hemisphere,,1950,-0.26235095
Southern hemisphere,,1951,-0.1761571
Southern hemisphere,,1952,-0.039108276
Southern hemisphere,,1953,-0.051317606
Southern hemisphere,,1954,-0.2023827
Southern hemisphere,,1955,-0.26903242
Southern hemisphere,,1956,-0.24720186
Southern hemisphere,,1957,-0.034902032
Southern hemisphere,,1958,-0.11796081
Southern hemisphere,,1959,-0.14308532
Southern hemisphere,,1960,-0.23137054
Southern hemisphere,,1961,-0.03326399
Southern hemisphere,,1962,-0.17631456
Southern hemisphere,,1963,-0.14397602
Southern hemisphere,,1964,-0.35073146
Southern hemisphere,,1965,-0.21364318
Southern hemisphere,,1966,-0.20880918
Southern hemisphere,,1967,-0.19589992
Southern hemisphere,,1968,-0.1980263
Southern hemisphere,,1969,0.037604645
Southern hemisphere,,1970,-0.0477133
Southern hemisphere,,1971,-0.18290249
Southern hemisphere,,1972,0.062229194
Southern hemisphere,,1973,0.0782654
Southern hemisphere,,1974,-0.09544133
Southern hemisphere,,1975,-0.11062622
Southern hemisphere,,1976,-0.17986071
Southern hemisphere,,1977,0.1272066
Southern hemisphere,,1978,0.0224081
Southern hemisphere,,1979,0.15063521
Southern hemisphere,,1980,0.25283712
Southern hemisphere,,1981,0.16006088
Southern hemisphere,,1982,0.07840488
Southern hemisphere,,1983,0.25546375
Southern hemisphere,,1984,0.12563127
Southern hemisphere,,1985,0.15148632
Southern hemisphere,,1986,0.12935646
Southern hemisphere,,1987,0.29033786
Southern hemisphere,,1988,0.24864225
Southern hemisphere,,1989,0.14113335
Southern hemisphere,,1990,0.25713807
Southern hemisphere,,1991,0.2926021
Southern hemisphere,,1992,0.15288447
Southern hemisphere,,1993,0.13887216
Southern hemisphere,,1994,0.14387386
Southern hemisphere,,1995,0.18509625
Southern hemisphere,,1996,0.26163
Southern hemisphere,,1997,0.3098965
Southern hemisphere,,1998,0.4403418
Southern hemisphere,,1999,0.1726068
Southern hemisphere,,2000,0.17509349
Southern hemisphere,,2001,0.35031772
Southern hemisphere,,2002,0.41821876
Southern hemisphere,,2003,0.36786872
Southern hemisphere,,2004,0.3012516
Southern hemisphere,,2005,0.38232562
Southern hemisphere,,2006,0.3503445
Southern hemisphere,,2007,0.35130018
Southern hemisphere,,2008,0.25959548
Southern hemisphere,,2009,0.48682365
Southern hemisphere,,2010,0.44124317
Southern hemisphere,,2011,0.3500494
Southern hemisphere,,2012,0.3708825
Southern hemisphere,,2013,0.47047654
Southern hemisphere,,2014,0.4379493
Southern hemisphere,,2015,0.5193882
Southern hemisphere,,2016,0.61066127
Southern hemisphere,,2017,0.57495165
Southern hemisphere,,2018,0.56564635
Southern hemisphere,,2019,0.63840175
Southern hemisphere,,2020,0.569861
Southern hemisphere,,2021,0.44576237
Southern hemisphere,,2022,0.5028665
Southern hemisphere,,2023,0.7553061
